Filename,Predicted Class
0703_soil,soil
0704_soil,soil
0705_soil,soil
0706_tree,tree
0707_soil,soil
0708_soil,soil
0709_soil,soil
0710_soil,soil
0711_tree,soil
0712_soil,soil
0713_soil,soil
0714_soil,soil
0715_soil,tree
0716_soil,soil
0717_tree,tree
0718_soil,soil
0719_soil,soil
0720_soil,soil
0721_soil,soil
0722_soil,soil
0723_soil,soil
0724_tree,soil
0725_tree,soil
0726_tree,soil
0727_soil,soil
0728_soil,soil
0729_tree,tree
0730_soil,soil
0731_soil,soil
0732_tree,tree
0733_tree,soil
0734_soil,soil
0735_soil,soil
0736_tree,tree
0737_tree,tree
0738_soil,soil
0739_tree,soil
0740_soil,soil
0741_soil,soil
0742_soil,soil
0743_soil,soil
0744_soil,soil
0745_soil,soil
0746_soil,soil
0747_tree,tree
0748_tree,tree
0749_soil,soil
0750_tree,tree
0751_soil,soil
0752_soil,soil
0753_tree,tree
0754_soil,soil
0755_soil,soil
0756_soil,soil
0757_soil,soil
0758_soil,soil
0759_soil,soil
0760_tree,tree
0761_tree,tree
0762_soil,soil
0763_soil,soil
0764_tree,tree
0765_tree,tree
0766_tree,tree
0767_soil,soil
0768_tree,tree
0769_soil,soil
0770_tree,tree
0771_soil,soil
0772_soil,soil
0773_soil,soil
0774_tree,tree
0775_tree,soil
0776_soil,soil
0777_soil,soil
0778_soil,soil
0779_tree,soil
0780_tree,tree
0781_soil,soil
0782_soil,soil
0783_soil,soil
0784_soil,soil
0785_soil,soil
0786_soil,soil
0787_soil,soil
0788_soil,soil
0789_soil,soil
0790_soil,soil
0791_tree,tree
0792_soil,soil
0793_tree,tree
0794_soil,soil
0795_tree,tree
0796_tree,soil
0797_soil,soil
0798_soil,soil
0799_soil,soil
0800_soil,soil
0801_soil,soil
0802_soil,soil
0803_tree,soil
0804_soil,soil
0805_soil,soil
0806_tree,tree
0807_tree,tree
0808_soil,soil
0809_soil,soil
0810_tree,soil
0811_soil,soil
0812_tree,tree
0813_soil,soil
0814_soil,soil
0815_tree,tree
0816_tree,soil
0817_tree,tree
0818_soil,soil
0819_soil,soil
0820_soil,soil
0821_tree,tree
0822_soil,soil
0823_soil,soil
0824_soil,soil
0825_tree,tree
0826_soil,soil
0827_soil,soil
0828_soil,soil
0829_soil,soil
0830_soil,soil
0831_soil,soil
0832_soil,soil
0833_tree,tree
0834_soil,soil
0835_soil,soil
0836_soil,soil
0837_soil,soil
0838_tree,soil
0839_tree,tree
0840_soil,soil
0841_tree,tree
0842_soil,soil
0843_tree,tree
0844_soil,soil
0845_soil,soil
0846_tree,tree
0847_soil,soil
0848_soil,soil
0849_tree,soil
0850_tree,soil
0851_soil,soil
0852_soil,soil
0853_tree,soil
0854_soil,soil
0855_soil,soil
0856_tree,tree
0857_soil,soil
0858_soil,soil
0859_tree,soil
0860_soil,soil
0861_tree,tree
0862_soil,soil
0863_soil,soil
0864_tree,tree
0865_soil,soil
0866_soil,soil
0867_tree,tree
0868_soil,soil
0869_soil,soil
0870_soil,soil
0871_tree,tree
0872_soil,soil
0873_soil,soil
0874_soil,soil
0875_soil,soil
0876_soil,soil
0877_soil,soil
0878_tree,tree
0879_soil,soil
0880_tree,tree
0881_soil,soil
0882_soil,soil
0883_soil,soil
0884_soil,soil
0885_tree,tree
0886_soil,soil
0887_tree,tree
0888_soil,soil
0889_soil,soil
0890_soil,soil
0891_soil,soil
0892_soil,soil
0893_soil,soil
0894_tree,tree
0895_soil,soil
0896_soil,soil
0897_tree,tree
0898_soil,soil
0899_tree,tree
0900_soil,soil
0901_soil,soil
0902_tree,tree
0903_soil,soil
0904_soil,soil
0905_soil,soil
0906_soil,soil
0907_soil,tree
0908_tree,tree
0909_tree,soil
0910_soil,soil
0911_tree,tree
0912_soil,soil
0913_soil,soil
0914_tree,tree
0915_tree,tree
0916_soil,soil
0917_soil,soil
0918_soil,soil
0919_soil,soil
0920_soil,soil
0921_soil,soil
0922_tree,soil
0923_tree,tree
0924_soil,soil
0925_tree,tree
0926_tree,soil
0927_soil,tree
0928_soil,soil
0929_soil,soil
0930_soil,soil
0931_soil,soil
0932_tree,tree
0933_tree,tree
0934_tree,tree
0935_tree,tree
0936_soil,soil
0937_tree,tree
0938_soil,soil
0939_tree,soil
0940_tree,tree
0941_soil,soil
0942_soil,soil
0943_soil,soil
0944_tree,tree
0945_soil,soil
0946_soil,soil
0947_soil,soil
0948_soil,soil
0949_tree,tree
0950_soil,tree
0951_soil,soil
0952_soil,soil
0953_soil,soil
0954_tree,tree
0955_soil,soil
0956_soil,soil
0957_soil,soil
0958_soil,soil
0959_soil,soil
0960_tree,tree
0961_tree,tree
0962_soil,soil
0963_soil,soil
0964_soil,soil
0965_soil,soil
0966_soil,soil
0967_soil,soil
0968_tree,tree
0969_soil,soil
0970_soil,soil
0971_soil,soil
0972_soil,soil
0973_soil,soil
0974_soil,tree
0975_soil,soil
0976_soil,soil
0977_tree,tree
0978_soil,soil
0979_tree,tree
0980_soil,soil
0981_tree,tree
0982_soil,tree
0983_tree,tree
0984_soil,soil
0985_soil,soil
0986_tree,tree
0987_soil,soil
0988_soil,soil
0989_tree,tree
0990_tree,soil
0991_soil,soil
0992_tree,tree
0993_soil,soil
0994_tree,tree
0995_tree,tree
0996_tree,tree
0997_tree,soil
0998_soil,soil
0999_soil,soil
1000_soil,soil
1001_soil,soil
1002_tree,tree
1003_soil,soil
1004_soil,soil
1005_tree,tree
1006_tree,tree
1007_tree,soil
1008_soil,soil
1009_soil,soil
1010_soil,soil
1011_tree,tree
1012_soil,soil
1013_soil,soil
1014_soil,soil
1015_soil,soil
1016_tree,tree
1017_soil,soil
1018_tree,tree
1019_soil,soil
1020_soil,soil
1021_soil,soil
1022_tree,tree
1023_soil,soil
1024_tree,soil
1025_soil,soil
1026_soil,tree
1027_soil,soil
1028_soil,soil
1029_soil,soil
1030_tree,tree
1031_soil,soil
1032_soil,soil
1033_soil,soil
1034_tree,tree
1035_soil,soil
1036_soil,soil
1037_tree,soil
1038_tree,tree
1039_soil,soil
1040_tree,soil
1041_soil,soil
1042_tree,tree
1043_soil,soil
1044_soil,soil
1045_soil,soil
1046_soil,soil
1047_tree,tree
1048_soil,soil
1049_tree,tree
1050_soil,soil
1051_tree,tree
1052_soil,soil
1053_soil,tree
1054_soil,soil
1055_soil,soil
1056_soil,soil
1057_tree,tree
1058_soil,soil
1059_tree,tree
1060_soil,soil
1061_tree,tree
1062_soil,soil
1063_soil,soil
1064_tree,tree
1065_soil,soil
1066_soil,soil
1067_soil,soil
1068_tree,soil
1069_tree,soil
1070_soil,soil
1071_tree,tree
1072_soil,soil
1073_tree,tree
1074_soil,soil
1075_soil,soil
1076_soil,soil
1077_soil,soil
1078_tree,soil
1079_soil,soil
1080_tree,soil
1081_tree,tree
1082_soil,soil
1083_tree,soil
1084_soil,soil
1085_tree,tree
1086_tree,soil
1087_tree,tree
1088_soil,soil
1089_tree,tree
1090_soil,soil
1091_tree,tree
1092_soil,soil
1093_soil,soil
1094_tree,tree
1095_tree,tree
1096_soil,soil
1097_tree,soil
1098_soil,soil
1099_soil,soil
1100_soil,soil
1101_soil,soil
1102_soil,soil
1103_soil,soil
1104_tree,tree
1105_soil,soil
1106_tree,tree
1107_soil,soil
1108_soil,soil
1109_soil,soil
1110_tree,soil
1111_tree,tree
1112_soil,soil
1113_tree,tree
1114_soil,soil
1115_soil,soil
1116_soil,soil
1117_soil,soil
1118_tree,tree
1119_tree,tree
1120_tree,tree
1121_soil,soil
1122_tree,tree
1123_tree,tree
1124_soil,soil
1125_soil,soil
1126_tree,tree
1127_tree,tree
1128_soil,soil
1129_tree,tree
1130_soil,soil
1131_tree,tree
1132_tree,soil
1133_soil,soil
1134_tree,tree
1135_soil,soil
1136_soil,soil
1137_soil,soil
1138_tree,soil
1139_soil,soil
1140_soil,soil
1141_soil,soil
1142_soil,soil
1143_tree,soil
1144_soil,soil
1145_soil,soil
1146_soil,soil
1147_soil,soil
1148_tree,tree
1149_tree,tree
1150_tree,tree
1151_tree,tree
1152_soil,soil
1153_soil,soil
1154_soil,soil
1155_soil,soil
1156_soil,soil
1157_soil,soil
1158_soil,soil
1159_soil,soil
1160_soil,soil
1161_soil,soil
1162_soil,soil
1163_soil,soil
1164_soil,soil
1165_tree,tree
1166_soil,soil
1167_soil,soil
1168_soil,soil
1169_soil,soil
1170_soil,tree
1171_soil,soil
1172_tree,tree
1173_tree,tree
1174_tree,soil
1175_soil,soil
1176_soil,tree
1177_tree,tree
1178_tree,tree
1179_soil,soil
1180_soil,soil
1181_soil,soil
1182_soil,soil
1183_soil,soil
1184_soil,soil
1185_soil,soil
1186_soil,soil
1187_tree,tree
1188_tree,soil
1189_soil,soil
1190_soil,soil
1191_tree,tree
1192_soil,soil
1193_soil,soil
1194_soil,soil
1195_tree,tree
1196_soil,soil
1197_tree,tree
1198_soil,tree
1199_soil,soil
1200_tree,tree
1201_soil,tree
1202_soil,soil
1203_soil,soil
1204_soil,soil
1205_tree,tree
1206_tree,tree
1207_soil,soil
1208_soil,soil
1209_soil,soil
1210_soil,soil
1211_soil,soil
1212_tree,tree
1213_soil,soil
1214_soil,soil
1215_tree,soil
1216_soil,soil
1217_soil,soil
1218_soil,soil
1219_soil,soil
1220_soil,soil
1221_soil,tree
1222_soil,soil
1223_tree,tree
1224_soil,soil
1225_tree,tree
1226_soil,soil
1227_tree,tree
1228_tree,tree
1229_soil,soil
1230_soil,soil
1231_soil,soil
1232_tree,tree
1233_tree,soil
1234_tree,tree
1235_tree,tree
1236_soil,soil
1237_soil,soil
1238_tree,tree
1239_tree,tree
1240_tree,tree
1241_soil,soil
1242_soil,soil
1243_tree,tree
1244_soil,soil
1245_soil,soil
1246_soil,soil
1247_soil,soil
1248_tree,tree
1249_soil,soil
1250_tree,tree
1251_tree,tree
1252_soil,soil
1253_soil,soil
1254_tree,tree
1255_soil,soil
1256_soil,soil
1257_soil,soil
1258_soil,soil
1259_soil,soil
1260_soil,soil
1261_soil,soil
1262_tree,tree
1263_soil,soil
1264_tree,soil
1265_soil,soil
1266_soil,soil
1267_soil,tree
1268_tree,tree
1269_soil,soil
1270_tree,tree
1271_soil,soil
1272_tree,tree
1273_tree,tree
1274_tree,tree
1275_tree,tree
1276_soil,soil
1277_soil,soil
1278_tree,soil
1279_tree,tree
1280_tree,tree
1281_soil,soil
1282_soil,soil
1283_tree,soil
1284_tree,tree
1285_soil,tree
1286_soil,soil
1287_soil,soil
1288_soil,soil
1289_soil,soil
1290_soil,soil
1291_soil,soil
1292_soil,soil
1293_soil,soil
1294_soil,soil
1295_tree,tree
1296_tree,tree
1297_soil,soil
1298_tree,tree
1299_soil,tree
1300_soil,soil
1301_soil,soil
1302_tree,soil
1303_soil,soil
1304_tree,soil
1305_soil,soil
1306_soil,soil
1307_tree,tree
1308_soil,soil
1309_soil,soil
1310_soil,soil
1311_tree,tree
1312_soil,soil
1313_soil,soil
1314_soil,soil
1315_soil,soil
1316_soil,soil
1317_tree,tree
1318_soil,soil
1319_soil,soil
1320_soil,soil
1321_soil,soil
1322_soil,soil
1323_soil,soil
1324_tree,tree
1325_tree,tree
1326_tree,tree
1327_soil,soil
1328_soil,soil
1329_soil,soil
1330_soil,tree
1331_soil,soil
1332_soil,soil
1333_tree,tree
1334_soil,soil
1335_soil,soil
1336_soil,tree
1337_soil,soil
1338_soil,soil
1339_soil,soil
1340_soil,soil
1341_tree,tree
1342_tree,tree
1343_tree,tree
1344_soil,soil
1345_soil,soil
1346_soil,tree
1347_tree,tree
1348_soil,soil
1349_soil,soil
1350_soil,tree
1351_soil,soil
1352_tree,tree
1353_soil,soil
1354_soil,soil
1355_tree,tree
1356_soil,soil
1357_soil,soil
1358_soil,soil
1359_soil,soil
1360_soil,soil
1361_soil,soil
1362_tree,tree
1363_soil,soil
1364_soil,soil
1365_soil,tree
1366_tree,tree
1367_soil,soil
1368_tree,tree
1369_soil,soil
1370_soil,soil
1371_soil,soil
1372_soil,soil
1373_tree,tree
1374_soil,soil
1375_tree,soil
1376_soil,soil
1377_soil,soil
1378_soil,soil
1379_tree,soil
1380_soil,soil
1381_soil,soil
1382_soil,soil
1383_soil,soil
1384_soil,soil
1385_soil,soil
1386_soil,soil
1387_soil,soil
1388_soil,soil
1389_soil,soil
1390_tree,tree
1391_soil,soil
1392_tree,soil
1393_soil,soil
1394_soil,soil
1395_tree,tree
1396_soil,soil
1397_soil,soil
1398_tree,tree
1399_soil,soil
1400_tree,tree
1401_soil,soil
1402_tree,tree
1403_tree,tree
1404_soil,soil
1405_tree,tree
1406_soil,soil
1407_tree,tree
1408_soil,soil
1409_soil,soil
1410_tree,tree
1411_soil,soil
1412_soil,soil
1413_soil,soil
1414_soil,soil
1415_soil,soil
1416_soil,soil
1417_tree,tree
1418_soil,soil
1419_soil,soil
1420_soil,soil
1421_soil,tree
1422_soil,soil
1423_tree,tree
1424_soil,tree
1425_soil,soil
1426_soil,soil
1427_soil,soil
1428_soil,soil
1429_soil,soil
1430_soil,soil
1431_tree,tree
1432_soil,soil
1433_soil,soil
1434_soil,soil
1435_soil,soil
1436_soil,soil
1437_tree,tree
1438_tree,tree
1439_tree,soil
1440_tree,tree
1441_tree,tree
1442_tree,soil
1443_tree,tree
1444_soil,soil
1445_soil,soil
1446_soil,soil
1447_soil,tree
1448_soil,soil
1449_soil,soil
1450_soil,soil
1451_tree,tree
1452_soil,tree
1453_soil,soil
1454_tree,tree
1455_tree,soil
1456_tree,tree
1457_tree,tree
1458_tree,tree
1459_soil,soil
1460_tree,tree
1461_soil,soil
1462_tree,tree
1463_soil,soil
1464_soil,soil
1465_soil,soil
1466_tree,tree
1467_tree,tree
1468_tree,soil
1469_soil,soil
1470_soil,soil
1471_soil,soil
1472_soil,soil
1473_soil,soil
1474_soil,soil
1475_soil,soil
1476_tree,soil
1477_soil,soil
1478_soil,soil
1479_tree,tree
1480_soil,soil
1481_soil,soil
1482_soil,soil
1483_soil,soil
1484_tree,tree
1485_tree,tree
1486_tree,soil
1487_soil,soil
1488_soil,soil
1489_tree,soil
1490_soil,soil
1491_soil,soil
1492_tree,tree
1493_soil,soil
1494_soil,soil
1495_tree,soil
1496_tree,tree
1497_tree,tree
1498_soil,soil
1499_soil,soil
1500_tree,tree
1501_soil,soil
1502_soil,soil
1503_soil,soil
1504_soil,soil
1505_soil,soil
1506_soil,soil
1507_soil,soil
1508_soil,soil
1509_soil,soil
1510_tree,tree
1511_soil,soil
1512_soil,soil
1513_soil,soil
1514_soil,soil
1515_soil,soil
1516_tree,tree
1517_tree,tree
1518_soil,soil
1519_tree,tree
1520_tree,tree
1521_soil,soil
1522_tree,tree
1523_soil,soil
1524_tree,tree
1525_soil,soil
1526_soil,soil
1527_soil,soil
1528_soil,soil
1529_tree,soil
1530_soil,soil
1531_tree,tree
1532_soil,soil
1533_soil,soil
1534_soil,soil
1535_soil,soil
1536_soil,soil
1537_soil,soil
1538_soil,tree
1539_tree,tree
1540_tree,tree
1541_tree,tree
1542_soil,soil
1543_soil,soil
1544_soil,soil
1545_soil,soil
1546_soil,soil
1547_tree,tree
1548_soil,soil
1549_soil,soil
1550_soil,soil
1551_soil,soil
1552_soil,tree
